City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,Pont Rouge,48.8833,-72.0825,-6.84,78,100,3.58,CA,1701692906
170,Luganville,-15.5333,167.1667,26.39,88,48,4.21,VU,1701692907
171,Conde,-7.2597,-34.9075,30.7,62,75,5.14,BR,1701692910
172,Kingston,17.997,-76.7936,25.53,83,20,2.06,JM,1701692798
173,Yuzhno-Kurilsk,44.0306,145.8556,4.1,68,63,5.34,RU,1701692913
174,Praia Da Vitoria,38.7333,-27.0667,16.53,72,75,2.38,PT,1701692660
175,Salgado,-11.0319,-37.475,29.39,54,50,3.62,BR,1701692917
176,Huarmey,-10.0681,-78.1522,19.72,86,56,3.48,PE,1701692920
177,Gadzhiyevo,69.2551,33.3362,-7.16,95,100,3.71,RU,1701692922
178,Port Hedland,-20.3167,118.5667,27.03,83,3,5.66,AU,1701692923
179,Bad Bevensen,53.0833,10.5833,0.89,72,100,3.63,DE,1701692932
180,Biograd Na Moru,43.9433,15.4519,10.39,34,79,0.5,HR,1701692933
181,Pauini,-7.7136,-66.9764,24.39,95,100,0.97,BR,1701692933
182,Kodiak,57.79,-152.4072,4.73,87,100,5.66,US,1701692934
183,Gongzhuling,43.5008,124.8198,-6.63,92,4,1.42,CN,1701692935
184,Vadso,70.0744,29.7487,-3.91,93,75,4.12,NO,1701692936
185,Muli,2.9167,73.5667,28.51,74,42,4.21,MV,1701692937
186,Kachug,53.9606,105.8817,-6.92,95,100,1.95,RU,1701692938
187,Vilyuchinsk,52.9306,158.4028,-6.71,87,56,2.62,RU,1701692940
188,Ji'An,27.1172,114.9793,11.87,76,81,1.83,CN,1701692941
189,Fortuna,40.5982,-124.1573,15.37,84,100,7.2,US,1701692942
190,Charters Towers,-20.1,146.2667,26.04,63,20,6.45,AU,1701692943
191,Kasongo-Lunda,-6.4667,16.8167,31.0,51,93,0.78,CD,1701692944
192,Bayanaul,50.7889,75.6956,-10.82,87,91,2.08,KZ,1701692945
193,Victorica,-36.2151,-65.4359,17.42,36,18,6.5,AR,1701692946
194,Sumbe,-11.2061,13.8437,29.39,61,97,4.93,AO,1701692947
195,Hastings,50.8552,0.5729,8.84,50,100,9.88,GB,1701692948
196,Shakawe,-18.3667,21.85,38.27,16,35,2.2,BW,1701692949
197,Uliastay,47.7417,96.8444,-7.39,66,100,6.1,MN,1701692950
198,Ribeira Grande,38.5167,-28.7,17.22,55,75,4.47,PT,1701692951
199,Isangel,-19.55,169.2667,25.44,87,98,2.78,VU,1701692952
200,Moree,-29.4667,149.85,25.63,30,0,2.8,AU,1701692722
201,Puerto Aysen,-45.4,-72.7,8.64,100,100,0.54,CL,1701692954
202,La Passe,45.5549,-0.8967,12.23,82,100,11.66,FR,1701692955
203,Taoudenni,22.6783,-3.9836,28.72,24,1,5.7,ML,1701692956
204,Huadian,42.9633,126.7478,-2.82,97,72,0.78,CN,1701692957
205,Tura,25.5198,90.2201,18.33,80,78,0.77,IN,1701692958
206,Margate,51.3813,1.3862,8.83,91,100,4.02,GB,1701692959
207,Caleta De Carquin,-11.0925,-77.6267,19.5,83,77,3.4,PE,1701692960
208,Tete,-16.1564,33.5867,37.05,20,0,1.54,MZ,1701692961
209,Rusape,-18.5278,32.1284,32.1,12,4,3.55,ZW,1701692962
210,Ilulissat,69.2167,-51.1,-6.99,79,75,0.0,GL,1701692962
211,Kangaba,11.9333,-8.4167,35.2,11,73,5.3,ML,1701692963
212,Akniste,56.1615,25.7478,-5.52,95,96,2.21,LV,1701692964
213,Namibe,-15.1961,12.1522,26.62,73,100,4.26,AO,1701692965
214,Utrik,11.2278,169.8474,27.72,69,79,8.96,MH,1701692966
215,Sodra Sandby,56.5667,16.6167,-2.84,84,97,3.47,SE,1701692967
216,Salmon Arm,50.6998,-119.3024,-1.38,100,95,0.51,CA,1701692714
217,Kargil,34.5667,76.1,-0.88,30,0,1.85,IN,1701692969
218,Al Ghayzah,16.2079,52.176,28.21,41,6,4.23,YE,1701692970
219,Ipameri,-17.7219,-48.1597,26.37,59,64,3.12,BR,1701692971
220,Oodweyne,9.4092,45.064,24.97,34,10,8.12,SO,1701692972
221,Kiama,-34.6833,150.8667,19.76,77,67,5.36,AU,1701692973
222,Prince Albert,53.2001,-105.7677,-17.03,78,20,1.03,CA,1701692973
223,Bilokurakyne,49.5341,38.7307,-0.17,57,99,5.41,UA,1701692974
224,Bhanpura,24.513,75.7469,20.82,75,74,5.29,IN,1701692975
225,Kayangel,8.0823,134.7173,28.66,78,100,8.54,PW,1701692976
226,Hyesan,41.4017,128.1778,-6.52,93,31,0.56,KP,1701692977
